,Date,Price
361,광동제약,009290
362,스카이라이프,053210
363,SK증권,001510
364,유진투자증권,001200
365,엔에스쇼핑,138250
366,한국철강,104700
367,서연,007860
368,AK홀딩스,006840
369,한라홀딩스,060980
370,맵스리얼티1,094800
371,화승인더,006060
372,대상홀딩스,084690
373,DI동일,001530
374,하이트진로홀딩스,000140
375,SMART 200TR,295040
376,신영증권우,001725
377,알루코,001780
378,신한알파리츠,293940
379,삼성출판사,068290
380,KODEX 코스닥150선물인버스,251340
381,국도화학,007690
382,대신증권우,003545
383,현대차증권,001500
384,KH 필룩스,033180
385,금호건설,002990
386,LG헬로비전,037560
387,넥스트사이언스,003580
388,HSD엔진,082740
389,이리츠코크렙,088260
390,선진,136490
391,세아홀딩스,058650
392,모토닉,009680
393,KG케미칼,001390
394,쌍용차,003620
395,에이프로젠 KIC,007460
396,경방,000050
397,삼성 코스피 양매도 5% OTM ETN,530060
398,코람코에너지리츠,357120
399,동화약품,000020
400,남선알미늄,008350
401,삼양패키징,272550
402,환인제약,016580
403,자이에스앤디,317400
404,한일홀딩스,003300
405,하나제약,293480
406,삼성 레버리지 WTI원유 선물 ETN,530031
407,신한 레버리지 WTI원유 선물 ETN(H),500019
408,포스코강판,058430
409,애경유화,161000
410,한독,002390
411,신세계푸드,031440
412,제일파마홀딩스,002620
413,삼부토건,001470
414,덕성,004830
415,대교,019680
416,코오롱,002020
417,YG PLUS,037270
418,이아이디,093230
419,신대양제지,016590
420,CJ4우(전환),00104K
421,현대리바트,079430
422,디티알오토모티브,007340
423,농심홀딩스,072710
424,삼천리,004690
425,KODEX 코스피,226490
426,이월드,084680
427,조광피혁,004700
428,세진중공업,075580
429,E1,017940
430,한솔제지,213500
431,한세예스24홀딩스,016450
432,조선내화,000480
433,일동제약,249420
434,휴비스,079980
435,케이씨,029460
436,금호석유우,011785
437,삼진제약,005500
438,아모레G3우(전환),00279K
439,아이마켓코리아,122900
440,유양디앤유,011690
441,KBSTAR ESG사회책임투자,290130
442,티웨이항공,091810
443,신도리코,029530
444,현대에너지솔루션,322000
445,KTB투자증권,030210
446,엘브이엠씨홀딩스,900140
447,KISCO홀딩스,001940
448,한국쉘석유,002960
449,한화3우B,00088K
450,태림포장,011280
